Rīgas pilsēta,Rīgas pilsēta,Bērni,Rīgas pašvaldības kultūras iestāžu apvienības koncertorganizācijas „Ave Sol” bērnu deju kolektīvs „Teiksmiņa” ,Inga Pulmane,"48,3",Augstākā pakāpe,"48,3",0
Ķekavas novads,Pierīgas apriņķis,Bērni,"Ķekavas novada Ķekavas vidusskolas Tautas deju kolektīvs ""Ķekaviņa"" II",Irisa Gaile,"48,2",Augstākā pakāpe,"48,2",0
Rīgas pilsēta,Rīgas pilsēta,Bērni,VEF Kultūras pils Tautas deju ansamblis „Zelta Sietiņš”,Baiba Rasma Šteina,"48,0",Augstākā pakāpe,"48,0",0
Kuldīgas novads,Kuldīgas apriņķis,Bērni,Kuldīgas novada Pašvaldības aģentūras  “Kuldīgas kultūras centrs” bērnu deju kolektīvs “Stariņš”  ,Zita Serdante,"47,7",Augstākā pakāpe,"47,7",0
Priekuļu novads,Cēsu apriņķis,Bērni,"Priekuļu novada Priekuļu pagasta Priekuļu kultūras nama Bērnu deju kolektīvs ""Tūgadiņš""",Mārtiņš Jurciņš,"47,3",Augstākā pakāpe,"47,3",0
Rīgas pilsēta,Rīgas pilsēta,Bērni,Kultūras un tautas mākslas centra „Mazā ģilde” bērnu Tautas deju ansamblis „Dzintariņš”,Olga Freiberga,"47,3",Augstākā pakāpe,"47,3",0
Preiļu novads,Preiļu apriņķis,Bērni,Preiļu pilsētas Bērnu un jauniešu centra deju kopa “Gaida”   ,Gaida Ivanova,"47,0",Augstākā pakāpe,"47,0",0
Cēsu novads,Cēsu apriņķis,Bērni,"Cēsu novada pašvaldības aģentūras ""Cēsu Kultūras un Tūrisma centrs"" Tautas deju kolektīvs ""Randiņš""",Sandra Bārtniece,"46,8",Augstākā pakāpe,"46,8",0
Ķekavas novads,Pierīgas apriņķis,Bērni,"Ķekavas novada pašvaldības Ķekavas kultūras nama Bērnu deju kolektīvs ""Daina""",Daina Marija Zozuļa,"46,5",Augstākā pakāpe,"46,5",0
Jūrmalas pilsēta,Tukuma apriņķis,Bērni,Jūrmalas pilsētas Jūrmalas Kultūras centra Kauguru kultūras nama bērnu deju kolektīvs “Vizmiņa”,Ineta Tālzeme,"46,3",Augstākā pakāpe,"46,3",0
Rīgas pilsēta,Rīgas pilsēta,Bērni,Agra Daņiļeviča deju skolas „Dzirnas” bērnu deju kolektīvs „Dzirnas”,Agris Daņiļevičs,"46,3",Augstākā pakāpe,"46,3",0
Jelgavas pilsēta,Jelgavas pilsēta,Bērni,"Jelgavas Bērnu un jauniešu centra ""Junda"" Bērnu deju kolektīvs ""Jundēni"", I sastāvs",Madlēna Bratkus,"45,8",Augstākā pakāpe,"45,8",0
Madonas novads,Madonas apriņķis,Bērni,Madonas novada Madonas pilsētas kultūras nama bērnu deju kolektīvs “Pipariņi”    ,Gunta Beķere,"45,7",Augstākā pakāpe,"45,7",0
Krāslavas novads,Krāslavas apriņķis,Bērni,Krāslavas pilsētas pamatskolas un Krāslavas Bērnu un jauniešu centra bērnu deju kolektīvs “Pastaliņas”,Valda Timule,"45,3",Augstākā pakāpe,"45,3",0
Liepājas pilsēta,Liepājas apriņķis,Bērni,Liepājas Bērnu un jaunatnes centra bērnu deju kolektīvs “Vaduguns”  ,Inta Blumbaha,"45,3",Augstākā pakāpe,"45,3",0
Rīgas pilsēta,Rīgas pilsēta,Bērni,Biedrības „Tautas deju un mūzikas klubs „Liesma”” bērnu Tautas deju ansamblis „Dzirkstelīte”,Jānis Marcinkevičs,"45,3",Augstākā pakāpe,"45,3",0
Bauskas novads,Bauskas apriņķis,Bērni,"Bauskas Bērnu un jauniešu centra Bērnu deju kopa ""Mēmelīte""",Ligita Irbīte,"45,2",Augstākā pakāpe,"45,2",0
Rīgas pilsēta,Rīgas pilsēta,Bērni,Bērnu un jauniešu centra  „IK AUSEKLIS” deju kolektīvs „DANCĪTIS”,Ilze Dzene,"45,2",Augstākā pakāpe,"45,2",0
Rīgas pilsēta,Rīgas pilsēta,Bērni,Bērnu un jauniešu centra „Rīgas Skolēnu pils” Tautas deju ansamblis „UGUNTIŅA”,Gita Ūdre,"45,2",Augstākā pakāpe,"45,2",0
Rīgas pilsēta,Rīgas pilsēta,Bērni,Rīgas 64. vidusskolas deju kolektīvs „DZĒRVENĪTE”,Agnese Meliņa un Agnese Stanke,"44,8",I pakāpe,"44,8",0
Valmieras pilsēta,Valmieras apriņķis,Bērni,"Valmieras Jauniešu centra ""Vinda"" deju kopa ""Liesmiņa""",Liana Ozoliņa,"44,8",I pakāpe,"44,8",0
Grobiņas novads,Liepājas apriņķis,Bērni,Grobiņas sākumskolas bērnu deju kolektīvs   ,Iveta Dambe,"44,7",I pakāpe,"44,7",0
Jelgavas pilsēta,Jelgavas pilsēta,Bērni,"Jelgavas Bērnu un jauniešu centra ""Junda"" Bērnu deju kolektīvs ""Jundēni"", II sastāvs",Madlēna Bratkus,"44,5",I pakāpe,"44,5",0
Rīgas pilsēta,Rīgas pilsēta,Bērni,Biedrības „Tautas deju un mūzikas klubs „Liesma”” Bērnu deju ansamblis „DZĪPARIŅŠ”,Renāte Linde,"44,5",I pakāpe,"44,5",0
Dobeles novads,Dobeles apriņķis,Bērni,"Dobeles kultūras nama bērnu deju kolektīvs ""Drellīši""",Gints Baumanis,"44,0",I pakāpe,"44,0",0
Iecavas novads,Bauskas apriņķis,Bērni,Iecavas vidusskolas 3.-4. klašu bērnu deju kolektīvs,Solveiga Lineja,"44,0",I pakāpe,"44,0",0
Ikšķiles novads,Pierīgas apriņķis,Bērni,"Ikšķiles novada Tīnūžu tautas nama Bērnu deju kolektīvs ""Upīte""",Didzis Apsītis,"43,2",I pakāpe,"43,2",0
Babītes novads,Pierīgas apriņķis,Bērni,"Babītes novada pašvaldības Kultūrizglītības centra Bērnu deju kolektīvs ""Kaspīne""",Dace Veide,"42,7",I pakāpe,"42,7",0
Gulbenes novads,Gulbenes apriņķis,Bērni,"Gulbenes vidusskolas Bērnu deju kolektīvs ""Spārēni""",Daiga Tipāne,"42,5",I pakāpe,"42,5",0
Rīgas pilsēta,Rīgas pilsēta,Bērni,Rīgas pašvaldības Kultūras iestāžu apvienības Kultūras pils „Ziemeļblāzma” bērnu deju kolektīvs  „Bitīte”,Gundega Prancāne,"42,5",I pakāpe,"42,5",0
Dagdas novads,Krāslavas apriņķis,Bērni,Dagdas novada Bērnu un jauniešu centra bērnu deju kolektīvs “Dardedze”   ,Rita Vaišļa,"42,3",I pakāpe,"42,3",0
Ērgļu novads,Madonas apriņķis,Bērni,Ērgļu novada Ērgļu vidusskolas bērnu deju kolektīvs  ,Antra Grīnberga,"42,3",I pakāpe,"42,3",0
Ķekavas novads,Pierīgas apriņķis,Bērni,"Ķekavas novada Ķekavas vidusskolas Bērnu deju kolektīvs ""Ķekaviņa""",Irisa Gaile,"42,2",I pakāpe,"42,2",0
Mālpils novads,Siguldas apriņķis,Bērni,"Mālpils novada vidusskolas Bērnu deju kolektīvs ""Dundiņa""",Māra Gaile - Dišereite,"42,2",I pakāpe,"42,2",0
Madonas novads,Madonas apriņķis,Bērni,Madonas novada Madonas pilsētas kultūras nama bērnu deju kolektīvs “Mazā deju skola”   ,Maija Rijniece,"42,0",I pakāpe,"42,0",0
Liepājas pilsēta,Liepājas apriņķis,Bērni,Liepājas Tautas mākslas un kultūras centra bērnu deju kolektīvs “Krustiņi”   ,Inta Āboliņa,"41,7",I pakāpe,"41,7",0
Mārupes novads,Pierīgas apriņķis,Bērni,"Mārupes novada Jaunmārupes pamatskolas Bērnu deju kolektīvs ""Ozolēni""",Anita Ozoliņa,"41,5",I pakāpe,"41,5",0
Carnikavas novads,Siguldas apriņķis,Bērni,"Carnikavas novada Carnikavas tautas nama ""Ozolaine"" Bērnu deju kolektīvs ""Dālderītis""",Anita un Jānis Precinieki,"41,0",I pakāpe,"41,0",0
